,model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,n_jobs,random_state,max_depth,n_estimators,gamma,learning_rate,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,max_delta_step,min_child_weight,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,eval_metric,seed
31,XGBClassifier,0.930340741531024,0.9994025193286178,,,,,,,,,27.0,,,0.06191546785491297,binary:logistic,,,,,,0.5004165968279964,,,,6.0,,,,,1.9657627338006725,0.989860909736067,,,logloss,
32,XGBClassifier,0.9301390158355068,1.0,,,,,,,,,60.0,,,0.08821375571821878,binary:logistic,,,,,,1.0,,,,1.0,,,,,2.0,1.0,,,logloss,
33,XGBClassifier,0.9301123570457231,0.9999607482826378,,,,,,,,,60.0,,,0.0857805785319397,binary:logitraw,,,,,,0.3,,,,1.0,,,,,2.0,0.7265850921328377,,,error,
34,XGBClassifier,0.9299351669909776,0.9999630837465512,,,,,,,,,27.0,,,0.05192997762859782,binary:logitraw,,,,,,0.8602116430018439,,,,1.0,,,,,2.0,0.8490372823951283,,,error,
35,XGBClassifier,0.9298358699656156,0.9999932590018864,,,,,,,,,20.0,,,0.09042778429777573,binary:logistic,,,,,,0.3,,,,1.0,,,,,0.5,1.0,,,logloss,
36,XGBClassifier,0.9297733166878452,1.0,,,,,,,,,20.0,,,0.2559124040597672,binary:logistic,,,,,,0.40081498977734,,,,1.0,,,,,1.2888480765206902,0.9868945999811553,,,logloss,
37,XGBClassifier,0.9296948796015274,1.0,,,,,,,,,60.0,,,0.29999999999999993,binary:logistic,,,,,,1.0,,,,1.0,,,,,2.0,1.0,,,error,
38,XGBClassifier,0.9296160576944512,1.0,,,,,,,,,33.0,,,0.2740513427501195,binary:logitraw,,,,,,0.5369603249382832,,,,1.0,,,,,1.0140663352652188,0.9839610405968464,,,logloss,
39,XGBClassifier,0.9295150621498792,0.9996934703613706,,,,,,,,,30.0,,,0.050896814570816434,binary:logitraw,,,,,,0.6783770449450365,,,,1.0,,,,,1.266779092911361,0.5263795715566936,,,error,
40,XGBClassifier,0.9291879512355136,1.0,,,,,,,,,33.0,,,0.2513985124090886,binary:logistic,,,,,,0.3161559347206545,,,,1.0,,,,,1.820294536456791,0.9705725632877312,,,error,
42,XGBClassifier,0.9286423815574784,0.9999247874462444,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,0.305286221976692,,,,1.0,,,,,0.5763067381727738,1.0,,,error,
46,XGBClassifier,0.9282768549156738,0.9999995222914724,,,,,,,,,35.0,,,0.17611933190752532,binary:logistic,,,,,,0.9731547260432952,,,,1.0,,,,,1.6148110383568677,0.5721341477977899,,,logloss,
49,XGBClassifier,0.928159736708291,1.0,,,,,,,,,40.0,,,0.2917620858009064,binary:logistic,,,,,,0.6310856330414553,,,,2.0,,,,,1.9637124131319204,0.9867901492069786,,,error,
50,XGBClassifier,0.9280069761368668,0.9996001579622864,,,,,,,,,60.0,,,0.11206877376279216,binary:logitraw,,,,,,0.5379248292657879,,,,10.0,,,,,1.964553847061136,1.0,,,logloss,
53,XGBClassifier,0.9279050782539648,1.0,,,,,,,,,52.0,,,0.2944320621434595,binary:logistic,,,,,,0.963701311071092,,,,1.0,,,,,0.8426734473986651,0.930159019652885,,,error,
55,XGBClassifier,0.9275488138497258,0.9999420380319682,,,,,,,,,48.0,,,0.09291181764776255,binary:logitraw,,,,,,0.4517533903900386,,,,1.0,,,,,0.5156666356009317,0.5808933492444958,,,logloss,
56,XGBClassifier,0.927536287270554,0.9999187099321972,,,,,,,,,60.0,,,0.051052285259090634,binary:logitraw,,,,,,0.8039431105956937,,,,1.0,,,,,0.7269711151084042,0.6743056680974484,,,logloss,
57,XGBClassifier,0.927502781325206,0.9992808628902216,,,,,,,,,53.0,,,0.09016719323452023,binary:logistic,,,,,,0.9963190704354976,,,,10.0,,,,,1.6525060185988654,0.9998296901865068,,,logloss,
58,XGBClassifier,0.9274818948467988,0.9999251589973216,,,,,,,,,60.0,,,0.05,binary:logitraw,,,,,,0.3,,,,1.0,,,,,0.5,1.0,,,logloss,
60,XGBClassifier,0.9272357157188398,0.998947953125116,,,,,,,,,59.0,,,0.061428530234639386,binary:logistic,,,,,,0.315137218666146,,,,8.0,,,,,1.8696183860948847,0.963118034485032,,,logloss,
61,XGBClassifier,0.9267241562340433,0.9979181993148598,,,,,,,,,25.0,,,0.050736304914904266,binary:logitraw,,,,,,0.3481577157728555,,,,9.0,,,,,1.846383274580756,0.9758378176037228,,,logloss,
63,XGBClassifier,0.9265442591643074,0.9996888525122692,,,,,,,,,34.0,,,0.054942639266581696,binary:logistic,,,,,,0.7176506958297398,,,,1.0,,,,,0.7357261307029883,0.5228424174252766,,,logloss,
64,XGBClassifier,0.9262818910251308,0.9974689807929324,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,1.0,,,,10.0,,,,,2.0,1.0,,,logloss,
66,XGBClassifier,0.9256874623804534,0.9995712035176332,,,,,,,,,54.0,,,0.05064351843350751,binary:logistic,,,,,,0.3958327754501395,,,,1.0,,,,,0.8570293383741027,0.4974741554607887,,,error,
67,XGBClassifier,0.925496100306052,0.999978343880076,,,,,,,,,60.0,,,0.05,binary:logistic,,,,,,1.0,,,,1.0,,,,,0.5,1.0,,,logloss,
68,XGBClassifier,0.9250904859569616,0.9995123392112713,,,,,,,,,57.0,,,0.07626454453194426,binary:logitraw,,,,,,0.88709113013138,,,,1.0,,,,,1.33047439377081,0.3429784292546914,,,logloss,
69,XGBClassifier,0.9247438553413652,0.9998326427791172,,,,,,,,,28.0,,,0.12195558351564133,binary:logistic,,,,,,0.8346021142671544,,,,1.0,,,,,1.6199774458981857,0.3486152975495044,,,error,
71,XGBClassifier,0.9230810979228172,0.9999202757545936,,,,,,,,,54.0,,,0.22348117728637393,binary:logitraw,,,,,,0.43307303825547,,,,4.0,,,,,1.1683539300848027,0.6801053759819217,,,logloss,
72,XGBClassifier,0.9225384475746738,0.9999426484373092,,,,,,,,,26.0,,,0.29431993353038,binary:logitraw,,,,,,0.7283363455486442,,,,6.0,,,,,1.1114029232050924,0.9955627549837548,,,error,
74,XGBClassifier,0.9221000173036644,0.9895886611103856,,,,,,,,,28.0,,,0.05012177822019997,binary:logistic,,,,,,0.5792177815144564,,,,10.0,,,,,1.9140605666635304,0.5540602935895383,,,error,
75,XGBClassifier,0.9219527371106278,0.9999095538520824,,,,,,,,,57.0,,,0.298546450331627,binary:logistic,,,,,,0.8211316337653467,,,,10.0,,,,,1.5921883006955535,0.954313607074554,,,logloss,
76,XGBClassifier,0.9219203060094672,0.9890234523039882,,,,,,,,,42.0,,,0.05256341308812413,binary:logitraw,,,,,,0.7056447524176274,,,,10.0,,,,,0.9776270748196476,0.6875537668780076,,,error,
