model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,splitter,bootstrap,max_samples,n_estimators,oob_score,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights,break_ties,cache_size,coef0,decision_function_shape,degree,gamma,kernel,probability,shrinking,alpha,average,early_stopping,epsilon,eta0,learning_rate,loss,n_iter_no_change,power_t,shuffle,validation_fraction,base_estimator,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,interaction_constraints,max_delta_step,min_child_weight,missing,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,eval_metric,class_prior,fit_prior,priors,var_smoothing,seed
XGBClassifier,0.9319384775110748,0.9999552015558436,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05115849646687477,,,,,,,binary:logistic,,,,,,0.6784418155968647,,,,,1.0,,,,,,1.974905263527232,0.8430500797941934,,,,error,,,,,
XGBClassifier,0.9318977263197228,0.9999997080670108,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09627229703141357,,,,,,,binary:logitraw,,,,,,1.0,,,,,1.0,,,,,,2.0,0.9001456151822378,,,,logloss,,,,,
XGBClassifier,0.9317583017780312,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18972637972500248,,,,,,,binary:logistic,,,,,,0.3,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.931700286731274,0.9999820328514848,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06491184710117509,,,,,,,binary:logitraw,,,,,,0.6973840611251754,,,,,1.0,,,,,,2.0,0.8913646107077097,,,,error,,,,,
XGBClassifier,0.9315902943427632,0.9999441081022552,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07721491372399872,,,,,,,binary:logistic,,,,,,0.3,,,,,1.0,,,,,,2.0,0.8626261779586692,,,,logloss,,,,,
XGBClassifier,0.9315475526992124,0.9999908439198852,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059309145354267095,,,,,,,binary:logistic,,,,,,0.662325331715108,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.9311600780044949,0.9999794585333076,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11421508904637176,,,,,,,binary:logistic,,,,,,0.3203240689903516,,,,,1.0,,,,,,1.922935549915888,0.7214659213437105,,,,logloss,,,,,
XGBClassifier,0.9310765188211853,0.999947929770477,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08114916869929403,,,,,,,binary:logistic,,,,,,0.6908903651136693,,,,,1.0,,,,,,1.9635379174843013,0.5834332053713998,,,,logloss,,,,,
XGBClassifier,0.9310046236877612,0.9997358802628882,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05427741604837106,,,,,,,binary:logistic,,,,,,0.721076814574724,,,,,1.0,,,,,,1.8995848351350144,0.531229657696778,,,,error,,,,,
XGBClassifier,0.9309805657555174,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14168041648875432,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
